component_id,closed_px,emitted_px,centroid_row,centroid_col,centroid_lon,centroid_lat,median_distance_to_known_m,assessment
1,25,21,6.88,769.96,-119.1259,40.7017,640.3,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
2,31,28,4.0,789.48,-119.1029,40.7047,473.6,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
3,4,4,2.75,845.75,-119.0364,40.707,364.3,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
4,142,111,22.68,938.51,-118.9261,40.6909,223.6,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
7,1,1,2.0,2076.0,-117.5802,40.7242,5059.6,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
8,72,62,9.47,2128.11,-117.5185,40.7177,200.0,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
11,3,3,5.0,2080.67,-117.5747,40.7215,4492.2,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
12,1,1,4.0,2897.0,-116.6081,40.7232,100.0,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
13,105,79,13.5,3197.73,-116.2521,40.7129,200.0,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
14,8,8,7.62,841.25,-119.0416,40.7025,316.2,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
15,1,1,5.0,2895.0,-116.6104,40.7223,100.0,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
16,2,2,5.0,2988.5,-116.4997,40.7218,100.0,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
17,2,2,7.5,689.5,-119.2211,40.6993,886.7,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
18,66,55,16.62,2244.05,-117.3812,40.7118,141.4,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
19,5,5,11.4,1085.2,-118.7529,40.7039,1627.9,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
20,2,2,10.5,2220.5,-117.4091,40.7172,1343.5,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
